"time","mels_S"
"2020-08-04T12:15:00",0.066666667
"2020-08-04T12:30:00",0.071428571
"2020-08-04T12:45:00",0.09
"2020-08-04T13:00:00",0.066666667
"2020-08-04T13:15:00",0.033333333
"2020-08-04T13:30:00",0.1125
"2020-08-04T13:45:00",0.04
"2020-08-04T14:00:00",0.03
"2020-08-04T14:15:00",0.044444444
"2020-08-04T14:30:00",0.036363636
"2020-08-04T14:45:00",0.04
"2020-08-04T15:00:00",0.12
"2020-08-04T15:15:00",0.06
"2020-08-04T15:30:00",0.044444444
"2020-08-04T15:45:00",0.111111111
"2020-08-04T16:00:00",0.245454545
"2020-08-04T16:15:00",0.125
"2020-08-04T16:30:00",0.3
"2020-08-04T16:45:00",0.525
"2020-08-04T17:00:00",0.345454545
"2020-08-04T17:15:00",0.35
"2020-08-04T17:30:00",0.566666667
"2020-08-04T17:45:00",0.527272727
"2020-08-04T18:00:00",0.4625
"2020-08-04T18:15:00",0.54
"2020-08-04T18:30:00",0.411111111
"2020-08-04T18:45:00",0.51
"2020-08-04T19:00:00",0.44
"2020-08-04T19:15:00",0.3
"2020-08-04T19:30:00",0.2375
"2020-08-04T19:45:00",0.46
"2020-08-04T20:00:00",0.3875
"2020-08-04T20:15:00",0.133333333
"2020-08-04T20:30:00",0.15
"2020-08-04T20:45:00",0.214285714
"2020-08-04T21:00:00",0.109090909
"2020-08-04T21:15:00",0.075
"2020-08-04T21:30:00",0.0625
"2020-08-04T21:45:00",0.057142857
"2020-08-04T22:00:00",0.063636364
"2020-08-04T22:15:00",0.116666667
"2020-08-04T22:30:00",0.071428571
"2020-08-04T22:45:00",0.011111111
"2020-08-04T23:00:00",0.071428571
"2020-08-04T23:15:00",0.03
"2020-08-04T23:30:00",0.342857143
"2020-08-04T23:45:00",0.1
"2020-08-05T00:00:00",0.1625
"2020-08-05T00:15:00",0.142857143
"2020-08-05T00:30:00",0.122222222
"2020-08-05T00:45:00",0.175
"2020-08-05T01:00:00",0.128571429
"2020-08-05T01:15:00",0.145454545
"2020-08-05T01:30:00",0.171428571
"2020-08-05T01:45:00",0.175
"2020-08-05T02:00:00",0.083333333
"2020-08-05T02:15:00",0.13
"2020-08-05T02:30:00",0.15
"2020-08-05T02:45:00",0.144444444
"2020-08-05T03:00:00",0.133333333
"2020-08-05T03:15:00",0.15
"2020-08-05T03:30:00",0.17
"2020-08-05T03:45:00",0.12
"2020-08-05T04:00:00",0.166666667
"2020-08-05T04:15:00",0.144444444
"2020-08-05T04:30:00",0.166666667
"2020-08-05T04:45:00",0.155555556
"2020-08-05T05:00:00",0.18
"2020-08-05T05:15:00",0.133333333
"2020-08-05T05:30:00",0.177777778
"2020-08-05T05:45:00",0.114285714
"2020-08-05T06:00:00",0.144444444
"2020-08-05T06:15:00",0.175
"2020-08-05T06:30:00",0.16
"2020-08-05T06:45:00",0.15
"2020-08-05T07:00:00",0.15
"2020-08-05T07:15:00",0.17
"2020-08-05T07:30:00",0.15
"2020-08-05T07:45:00",0.142857143
"2020-08-05T08:00:00",0.166666667
"2020-08-05T08:15:00",0.15
"2020-08-05T08:30:00",0.125
"2020-08-05T08:45:00",0.1625
"2020-08-05T09:00:00",0.133333333
"2020-08-05T09:15:00",0.18
"2020-08-05T09:30:00",0.13
"2020-08-05T09:45:00",0.157142857
"2020-08-05T10:00:00",0.155555556
"2020-08-05T10:15:00",0.155555556
"2020-08-05T10:30:00",0.15
"2020-08-05T10:45:00",0.166666667
"2020-08-05T11:00:00",0.145454545
"2020-08-05T11:15:00",0.122222222
"2020-08-05T11:30:00",0.155555556
"2020-08-05T11:45:00",0.175
"2020-08-05T12:00:00",0.16
"2020-08-05T12:15:00",0.142857143
"2020-08-05T12:30:00",0.175
"2020-08-05T12:45:00",0.13
"2020-08-05T13:00:00",0.172727273
"2020-08-05T13:15:00",0.1
"2020-08-05T13:30:00",0.144444444
"2020-08-05T13:45:00",0.077777778
"2020-08-05T14:00:00",0.14
"2020-08-05T14:15:00",0.1375
"2020-08-05T14:30:00",0.144444444
"2020-08-05T14:45:00",0.133333333
"2020-08-05T15:00:00",0.125
"2020-08-05T15:15:00",0.13
"2020-08-05T15:30:00",0.11
"2020-08-05T15:45:00",0.05
"2020-08-05T16:00:00",0.025
"2020-08-05T16:15:00",0.109090909
"2020-08-05T16:30:00",0.0375
"2020-08-05T16:45:00",0.0375
"2020-08-05T17:00:00",0.1
"2020-08-05T17:15:00",0.133333333
"2020-08-05T17:30:00",0.088888889
"2020-08-05T17:45:00",0.088888889
"2020-08-05T18:00:00",0.1
"2020-08-05T18:15:00",0.072727273
"2020-08-05T18:30:00",0.05
"2020-08-05T18:45:00",0.1625
"2020-08-05T19:00:00",0.0375
"2020-08-05T19:15:00",0.1
"2020-08-05T19:30:00",0.14
"2020-08-05T19:45:00",0.077777778
"2020-08-05T20:00:00",0.11
"2020-08-05T20:15:00",0.155555556
"2020-08-05T20:30:00",0.09
"2020-08-05T20:45:00",0.05
"2020-08-05T21:00:00",0.085714286
"2020-08-05T21:15:00",0.0875
"2020-08-05T21:30:00",0.145454545
"2020-08-05T21:45:00",0.133333333
"2020-08-05T22:00:00",0.15
"2020-08-05T22:15:00",0.14
"2020-08-05T22:30:00",0.1
"2020-08-05T22:45:00",0.15
"2020-08-05T23:00:00",0.1125
"2020-08-05T23:15:00",0.1375
"2020-08-05T23:30:00",0.08
"2020-08-05T23:45:00",0.155555556
"2020-08-06T00:00:00",0.12
"2020-08-06T00:15:00",0.155555556
"2020-08-06T00:30:00",0.12
"2020-08-06T00:45:00",0.15
"2020-08-06T01:00:00",0.17
"2020-08-06T01:15:00",0.136363636
"2020-08-06T01:30:00",0.16
"2020-08-06T01:45:00",0.163636364
"2020-08-06T02:00:00",0.17
"2020-08-06T02:15:00",0.127272727
"2020-08-06T02:30:00",0.18
"2020-08-06T02:45:00",0.157142857
"2020-08-06T03:00:00",0.175
"2020-08-06T03:15:00",0.155555556
"2020-08-06T03:30:00",0.177777778
"2020-08-06T03:45:00",0.21
"2020-08-06T04:00:00",0.1875
"2020-08-06T04:15:00",0.12
"2020-08-06T04:30:00",0.17
"2020-08-06T04:45:00",0.166666667
"2020-08-06T05:00:00",0.166666667
"2020-08-06T05:15:00",0.15
"2020-08-06T05:30:00",0.19
"2020-08-06T05:45:00",0.175
"2020-08-06T06:00:00",0.142857143
"2020-08-06T06:15:00",0.188888889
"2020-08-06T06:30:00",0.1625
"2020-08-06T06:45:00",0.157142857
"2020-08-06T07:00:00",0.1375
"2020-08-06T07:15:00",0.18
"2020-08-06T07:30:00",0.18
"2020-08-06T07:45:00",0.145454545
"2020-08-06T08:00:00",0.15
"2020-08-06T08:15:00",0.166666667
"2020-08-06T08:30:00",0.136363636
"2020-08-06T08:45:00",0.185714286
"2020-08-06T09:00:00",0.142857143
"2020-08-06T09:15:00",0.17
"2020-08-06T09:30:00",0.15
"2020-08-06T09:45:00",0.1
"2020-08-06T10:00:00",0.154545455
"2020-08-06T10:15:00",0.133333333
"2020-08-06T10:30:00",0.18
"2020-08-06T10:45:00",0.118181818
"2020-08-06T11:00:00",0.175
"2020-08-06T11:15:00",0.17
"2020-08-06T11:30:00",0.166666667
"2020-08-06T11:45:00",0.15
"2020-08-06T12:00:00",0.1625
"2020-08-06T12:15:00",0.133333333
"2020-08-06T12:30:00",0.177777778
"2020-08-06T12:45:00",0.166666667
"2020-08-06T13:00:00",0.177777778
"2020-08-06T13:15:00",0.144444444
"2020-08-06T13:30:00",0.18
"2020-08-06T13:45:00",0.142857143
"2020-08-06T14:00:00",0.133333333
"2020-08-06T14:15:00",0.15
"2020-08-06T14:30:00",0.08
"2020-08-06T14:45:00",0.122222222
"2020-08-06T15:00:00",0.066666667
